Number,Title,URL,Date
1,Kennesaw State student researcher streamlining manufacturing automation through digital twin technology,https://www.kennesaw.edu/news/stories/2025/student-researchers-streamlining-manufacturing-digital-twin-technology.php,"July 23, 2025"
2,Discovery courses provide hands-on experiences for Kennesaw State Honors students,https://www.kennesaw.edu/news/stories/2025/discovery-courses-provide-hands-on-experience-honors-students.php,"July 22, 2025"
3,Kennesaw State student's research aims to create more confident math teachers,https://www.kennesaw.edu/news/stories/2025/student-research-aims-to-create-confident-math-teachers.php,"July 21, 2025"
4,Double Owl Pathways propels Kennesaw State student toward recognition in neuroscience research,https://www.kennesaw.edu/news/stories/2025/double-owl-pathways-propels-student-recognition-neuroscience-research.php,"July 18, 2025"
5,KSU student developing stroke-screening tool for children with sickle cell ,https://www.kennesaw.edu/news/stories/2025/student-stroke-screening-tool-for-children-with-sickle-cell.php,"July 17, 2025"
6,Kennesaw State associate professor honored with national award for excellence in engineering education,https://www.kennesaw.edu/news/stories/2025/national-award-excellence-engineering-education.php,"July 16, 2025"
7,Kennesaw State professor planting knowledge with his latest research,https://www.kennesaw.edu/news/stories/2025/professor-planting-knowledge-with-latest-research.php,"July 15, 2025"
8,Kennesaw State business students to benefit from the Madhuri and Jagdish N. Sheth Marketing Scholarship,https://www.kennesaw.edu/news/stories/2025/business-students-to-benefit-marketing-scholarship.php,"July 14, 2025"
9,Five recent Kennesaw State physics graduates to pursue doctoral studies,https://www.kennesaw.edu/news/stories/2025/five-recent-ksu-physics-graduates-pursue-doctoral-studies.php,"July 11, 2025"
10,"Kennesaw State researcher nominated to NSF center, wins American Chemical Society Petroleum Research Funds award",https://www.kennesaw.edu/news/stories/2025/researcher-award-american-chemical-society-petroleum-research-funds.php,"July 10, 2025"
