Number,Title,URL,Date
1,Kennesaw State student draws on personal experience in graduate program,https://www.kennesaw.edu/news/stories/2025/student-draws-on-personal-experience-graduate-program.php,"June 09, 2025"
2,Growth fuels passion for Kennesaw State master's graduate,https://www.kennesaw.edu/news/stories/2025/growth-fuels-passion-for-ksu-masters-graduate.php,"June 06, 2025"
3,Kennesaw State public health grad seeks to make a difference,https://www.kennesaw.edu/news/stories/2025/public-health-grad-seeks-make-a-difference.php,"June 05, 2025"
4,"Kennesaw State professor uses speed, crash data to better understand how to protect school children ",https://www.kennesaw.edu/news/stories/2025/ksu-professor-speed-crash-data-protect-school-children.php,"June 04, 2025"
5,Kennesaw State students with Center for Sustainable Journalism hit the ground reporting,https://www.kennesaw.edu/news/stories/2025/ksu-students-center-for-sustainable-journalism-reporting.php,"June 03, 2025"
6,Kennesaw State student secures prestigious VICEROY Maven internship,https://www.kennesaw.edu/news/stories/2025/student-secures-viceroy-maven-internship.php,"June 02, 2025"
7,KSU Game Studio levels up with new release,https://www.kennesaw.edu/research/news/posts/chiba-launch.php,"May 30, 2025"
8,Research helps dual major forge path at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/research-helps-dual-major-forge-path-at-ksu.php,"May 30, 2025"
9,Student-led public relations agency at Kennesaw State finds success with client campaign work,https://www.kennesaw.edu/news/stories/2025/student-led-public-relations-agency-ksu-finds-success-client-campaign.php,"May 29, 2025"
10,KSU dancers selected to participate in prestigious summer workshops,https://www.kennesaw.edu/news/stories/2025/dancers-participate-prestigious-summer-workshops.php,"May 28, 2025"
