Number,Title,URL,Date
1,Kennesaw State researchers develop phone application to combat elderly loneliness,https://www.kennesaw.edu/news/stories/2025/researchers-develop-app-combat-elderly-loneliness.php,"May 27, 2025"
2,Kennesaw State graduates latest cohort of the Paul Radow Scholars Program,https://www.kennesaw.edu/news/stories/2025/ksu-graduates-latest-cohort-paul-radow-scholars.php,"May 23, 2025"
3,Kennesaw State faculty member wins prestigious Art Directors Club award for creative excellence,https://www.kennesaw.edu/news/stories/2025/faculty-member-wins-art-directors-club-award.php,"May 22, 2025"
4,Kennesaw State researcher develops AI robot to aid farmers in fight against pests,https://www.kennesaw.edu/news/stories/2025/researcher-develops-ai-robot-aid-farmers-against-pests.php,"May 21, 2025"
5,Kennesaw State recognized for environmental stewardship,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-recognized-for-environmental-stewardship.php,"May 20, 2025"
6,Kennesaw State alum receives international scientific honor,https://www.kennesaw.edu/news/stories/2025/ksu-alum-recieves-international-scientific-honor.php,"May 19, 2025"
7,Kennesaw State men's team wins Conference USA Outdoor Championship,https://ksuowls.com/news/2025/5/19/mens-track-and-field-kennesaw-state-men-win-conference-usa-outdoor-championship.aspx,"May 19, 2025"
8,Parent and Family initiatives enhance sense of community at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/parent-and-family-initiatives-enhance-sense-of-community.php,"May 16, 2025"
9,Kennesaw State to launch Bachelor of Science in Aerospace Engineering degree program,https://www.kennesaw.edu/news/stories/2025/ksu-launch-bachelor-science-aerospace-engineering-program.php,"May 15, 2025"
10,Kennesaw State student wins marketing competition at international conference,https://www.kennesaw.edu/news/stories/2025/student-wins-marketing-competition-international-conference.php,"May 14, 2025"
